country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02M,938k,742k,917k,490k,561k,563k,612k,336k,452k,398k,,,620k,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9k,,,13.2k,15.4k,14.1k,14.3k,14.2k,2400,8290,5900,7650,8500,9150,8070,8270,3740,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,242k,222k,191k,126k,,,,,,56k,57.2k,65.5k,,66.2k,,,,51.5k,28.7k,66k,90.1k,91.3k,92.8k,111k
Kiribati,,,,,,,,,,,,,,,,59,80,297,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,670,466,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,
South Korea,,157k,103k,119k,124k,105k,76.1k,94.4k,81.4k,36k,,,,,16.3k,27.3k,33.8k,6980,,,,,,,,,,,,,1630,28.9k,38k,26.2k,29.2k,,,,,3750,,,24.4k,58.7k,52.9k,18.5k,35.7k,32.7k,12.5k,,
Kuwait,,18.2k,17.4k,17.2k,18.6k,19.4k,19.4k,17.4k,14.7k,16.6k,16k,15.4k,14.7k,12.4k,11.7k,12.2k,13.1k,18k,20.3k,,,,51.8k,,25.5k,,10000,10.8k,,5670,5210,2830,825,,,4650,,,,,,,,,,,1150,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,138k,129k,123k,,122k,116k,108k,107k,106k,110k,107k,97.5k,92.4k,85.6k,78.6k,66.9k,55.8k,44.6k,27.2k,25.9k,25.8k,18.4k,16.7k,22k,26.2k,31k,35.2k,35.1k,34k
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116k,,,,,,,,,160k,,,,,,26.1k,,,77.2k,,,
Libya,,61.7k,47k,,,,,,24.8k,,,17.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,352,263,,,,,,,,476,,,,,,,,,,1260,1270,,,737,877,634,679,,,,,,,,,163,48,18,,44
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,,22.5k,28.9k,33.2k,41.6k,62.7k,51.3k,52.1k,50.1k,39.1k,30.3k,,,,,,
Lesotho,28.5k,,34k,35.2k,26.7k,,27.9k,27.7k,38.3k,37.9k,40k,42.2k,38.3k,40.9k,41.2k,39.5k,42.2k,42k,42.6k,45.8k,49.1k,48.4k,49.6k,55.3k,55k,59.2k,58.2k,,73.7k,80k,42.1k,38.2k,33.1k,27.5k,26.7k,23k,19k,22.1k,18.9k,17.5k,15.1k,15.4k,14.8k,12.9k,12.8k,10.8k,7100,3110,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,,,,,155,,,,,,,,,,,,,,,,,
Luxembourg,,,1260,1390,1140,1280,1320,1280,1330,,,2820,1930,2100,2170,,2110,2480,1680,,,,,,,,,,,149,281,373,356,643,529,225,130,127,241,,611,671,571,516,495,175,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,429,391,712,893,921,982,814,667,401,472,
"Macao, China",,,,,,,,,,,,,,,,,,,,,1320,,2620,,,,,,,2080,2320,2840,2790,2670,2580,2420,2230,1970,1900,1910,1810,1610,1430,1230,828,538,255,309,456,245,726
Morocco,,,,,,887k,857k,835k,809k,788k,764k,735k,729k,705k,686k,711k,744k,778k,811k,851k,852k,1.03M,1.04M,1.01M,960k,900k,842k,795k,765k,579k,489k,418k,343k,303k,299k,275k,243k,206k,191k,192k,131k,109k,119k,93.7k,104k,,81.1k,46.6k,,,
Madagascar,,,208k,,,,,,,,,,,,,,,,,279k,294k,,,,,392k,409k,,,366k,358k,356k,364k,263k,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,731,475,,30,,,,,,,,,,,,,,418,710,397,174,
Mexico,,877k,,,,,,,,,,,,,,,,,,,,,,,,,,281k,238k,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,1120,1040,,,1190,1330
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6430,6530,2030,2700,2920,3840,3670,3690,4700,4360,5750,4860,2740,,5470,5710,5010,2930,,403,428,,
Mali,,374k,,,,,,,,,,,,,,,,,,,,,,,,,,,,532k,,,505k,522k,516k,502k,499k,490k,,445k,445k,444k,486k,,564k,625k,632k,567k,712k,,
Malta,,3280,3530,3590,3210,2680,1890,1000,659,497,912,1240,1030,1540,1270,691,651,847,795,678,603,695,801,785,949,862,386,141,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,819k,,742k,909k,,,,871k,,,,,,,,,,,,,,,,,,,,,,280k,250k,288k,243k,281k,282k,303k,142k,272k,309k,301k,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,,196,181,503,531,,,,237,,,713,1180,507,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,16.4k,13.8k,17.3k,12.7k,10.8k,7830,5550,6810,15.1k,7660,8770,2250,805,,,,,1750,5400,5450,4020,,,,,
Mozambique,,,,502k,,,,,,407k,,436k,451k,371k,,362k,376k,502k,,559k,,591k,619k,649k,655k,645k,,,905k,865k,821k,766k,841k,,649k,566k,502k,412k,351k,328k,310k,367k,371k,352k,336k,306k,314k,335k,219k,111k,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,106k,97.4k,91.5k,,84.9k,85.9k,86.3k,80.4k,80.2k,73.5k,57.4k,60.7k,56.1k,54.2k,63.3k,67.5k,67.9k,66.9k,70.4k,66.4k,61.9k,,75.3k,61.6k,60.1k,70.6k,
Mauritius,,,17k,16.4k,15.7k,14.6k,14.3k,11.9k,13.4k,15.3k,14.8k,12.1k,7980,5780,3360,,842,,,,1330,3990,,3880,3420,2870,1710,1210,,,,,,,692,81,,,,113,,,1790,491,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6k,,,,,,,,,,,,,
Malaysia,158k,154k,146k,,,,,,,,,,,,,,,,,,,,,,34.4k,,,,65.2k,55.2k,22.1k,32.3k,51.9k,44.5k,8640,4460,50.8k,62.6k,75.7k,42.1k,57k,37.1k,16.8k,,2810,,,,,17.7k,
Namibia,,,,,,,,,,,,,,,,,,,,27.1k,27.6k,,25.7k,,,,,,18.8k,17.2k,14.6k,11.7k,7760,7430,11.5k,11.2k,17k,11.6k,12.8k,11.6k,10.2k,,4260,,,,,,,,
Niger,,,,364k,373k,,,,,,,,,,,,466k,,,519k,534k,547k,575k,,,,,645k,661k,670k,687k,685k,686k,683k,684k,710k,725k,741k,728k,714k,693k,658k,657k,688k,712k,718k,729k,702k,,887k,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99M,3.79M,,,,3.86M,3.9M,3.88M,4.08M,4.87M,4.87M,4.97M,,,,,,,,,,
Nicaragua,,94.7k,,97.9k,,,,,,,94k,,105k,107k,116k,102k,109k,107k,108k,118k,115k,109k,96.7k,95.6k,92.9k,99.2k,,,,65.2k,53.1k,38.5k,12.7k,,,,5410,5960,3220,,8960,,,,,,,,,,
Netherlands,,43.9k,49.5k,53.4k,59.5k,60.3k,52.8k,48.9k,44.4k,38.9k,36.8k,39k,50.2k,60k,65.5k,66.3k,35.4k,23.9k,14.7k,11.2k,11.4k,15.4k,22.9k,24.2k,6490,5190,4800,3350,,,,,,,,,,,,,,,,,,,,2930,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485
Norway,,,,,,,19,,1380,1810,,2710,3090,,4330,6110,6060,4510,3790,2070,325,,444,1740,2350,2870,2690,29.9k,,,,,,229,1190,2840,2270,1790,996,1200,1340,793,,,250,,,,,,
Nepal,,,,,,,,,,,,,,662k,660k,,,,664k,,,,,,,,,,,653k,557k,,,434k,427k,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,22
New Zealand,,,,979,1550,,,,,,,,,3270,,,,,,,,1780,4070,,4560,2260,1890,,,,,,,,,,,,,,,,,2130,3200,2730,1060,,,,
Oman,,,,61.6k,60.9k,59.6k,60.2k,,60.5k,60.1k,,60.5k,60.6k,59.3k,56k,54.5k,47.4k,49k,51.9k,52.7k,52.4k,51.5k,50.5k,44.7k,42.4k,40.8k,37.5k,34.9k,30.2k,27.4k,25.8k,23.6k,25.2k,28.9k,,,,,,,,457,,,,,,,,,
Panama,32k,22.2k,19.5k,17.3k,,16k,16.3k,,14k,16.1k,18.4k,20.8k,22.6k,24.9k,25.7k,24.7k,25.7k,24.1k,25.2k,22.5k,22.5k,,,,,,,,,11.7k,9050,6590,3140,,,3520,2030,,4640,9420,8100,9110,10.7k,14k,18.5k,22.1k,,29.4k,,,23k
Peru,318k,,,,,,,,,,,198k,,,,,,,,,,,,174k,,269k,,,52.2k,24.8k,8200,,,26.5k,,,,,,12.1k,,3220,,,,,,,,,
Philippines,,,,,,,,,,,,273k,217k,289k,461k,,253k,286k,139k,75.4k,107k,,,,,,,,538k,599k,,485k,439k,506k,541k,513k,612k,601k,525k,397k,,,,,107k,149k,197k,215k,264k,221k,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,168k,,,,,,,,,,,,,,,,,,,,,,,,,,,59k,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7k,51k,52k,64.2k,75k,84.2k,89.3k,84.7k,80k,72k,63.3k,55.4k,53.6k,44k,37.2k,38k,,,28.6k,20.8k,11k,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5k,15.1k,13.4k,15.6k,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6k,,,,,,,,,,,
Portugal,,,,59.4k,60.1k,,38.1k,33.6k,21.4k,,23.6k,20.7k,,,,,,,,,,4110,,,7060,,,,,,,,,,,,,,,,,,,,2340,4830,6630,3480,,,
Paraguay,45k,,66.7k,,,50.9k,49.7k,48k,44.3k,41.4k,36.4k,31.6k,,31.9k,33.5k,34.6k,38.8k,37.7k,34.3k,29.1k,25.1k,19.2k,49.4k,16.6k,31.7k,,20.9k,,,7120,966,2120,9390,11.8k,13.6k,11.8k,18.4k,26.5k,33.9k,38.8k,39.5k,39.5k,41.9k,,,,,,,,78.6k
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7k,16.6k,20.6k,21.5k,22.9k,25.3k,31.2k,31.9k,33.2k,28.2k,24.5k,22.6k,19.1k,12.3k,9450,8310,8420,8060,6070,6030,8520,12.4k
French Polynesia,,,,,,,,,,,,,,618,646,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,1710,1170,1090,1280,,859,1110,771,737,,878,,1260,1150,1310,840,2170,2490,3010,3830,5070,6110,6210,4910,,,,,,547,,,,,,648,,,,,,,2120,2590,1830,1940,1610,309,258,
Romania,,,,,,,,,,,,,,,,,,,,,,,,163k,110k,79.5k,71.7k,72.2k,45.1k,60.6k,56.3k,50.4k,31.4k,12.2k,,2430,10k,9590,10.9k,10.3k,11.7k,13.6k,18k,,,41.2k,51.6k,62.3k,66.6k,66k,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,110k,232k,,,,,,,,,,,170k,148k,45.6k,6670,,,,,58.9k,26.2k,6230,,,,
Rwanda,,,,170k,180k,190k,,183k,179k,,,,,,,,,,,,,,,,,,,,,87.1k,,,120k,91.6k,,,,,,,,,,,,,1350,18.1k,38.3k,59.3k,
Saudi Arabia,,,,,,,,,,468k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137k,46.9k,45k,,,,,41.3k,,,,83.6k
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27M,1.26M,1.25M,1.24M,1.25M,1.18M,1.23M,1.13M,,
Senegal,,,,,,,,,316k,318k,325k,331k,336k,341k,349k,357k,335k,,353k,,382k,,410k,,,,410k,384k,366k,382k,356k,,,311k,328k,322k,295k,274k,264k,262k,253k,247k,218k,235k,232k,238k,,,,274k,262k
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9320,7460,7710,,,,,,,,,,,1980,2050,
Sierra Leone,,,,,,,,,,,,,,211k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6k,,,9050,,,,,
El Salvador,110k,,,,,,,,,,,,,97.6k,,,,,,,,,,,,,,,37.8k,,30.5k,27.3k,19.7k,18.5k,,,,,,,,,,,23.8k,30.8k,34.9k,49.1k,45.5k,51.6k,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Somalia,,,,,,,263k,297k,344k,385k,426k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,1690,2260,5510,7670,3430,4830,4380,1280,934,1030,1250,1630,2480,3750
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501k,,,,580k,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,359,378,,,,787,,798,,,,,,,,,2450,,,795,545,347,356,,1250,1190,967,1180,,,1770,1830,2020,,1040,,,
Suriname,,,,,,,,2000,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,5110,4410,5030,2950,1770,2370,2860,2790,2970,2890,2590,2200,3560,3640,3210,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260,8840,10.9k,11k,8970,5780,2860,2700,3930,5290,5930,4670,4430,5530,6680,7300,6060,4810,3710,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,3680,2690,2370,980,1540,1330,1570,1140,753,20,,,430,382,365,324,26,,144,207,,,,,,
Sweden,,,,,,,,,,,,,12.2k,,,,,5800,4620,3560,1290,459,,,,,,,,,,,,3800,11.2k,15.6k,15.7k,11.4k,4870,,,,,,,,,,,,
Eswatini,17.9k,18.5k,18.2k,17.5k,17.3k,16.5k,16.7k,16.9k,17.4k,17.7k,,16.9k,18.3k,19.6k,20.6k,20.2k,21.7k,21.7k,23.2k,24.1k,23.3k,23.9k,23.3k,24k,21.8k,19k,19.7k,,,,,,,,,,,,,17.7k,12.3k,9550,13k,16k,15.2k,16.5k,16.6k,18k,17.7k,16.3k,
Seychelles,,,,,,,,,,693,,,,,,,,,,,,,,610,386,321,319,,,,,386,69,,,,,,,,,,,,,,,,,,
Syria,,256k,,212k,,,,,208k,209k,195k,193k,187k,183k,166k,151k,133k,97.2k,99.8k,96.3k,103k,,,,,,91k,99.5k,84.3k,,,,,,,,,,,,,,,264k,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,118,126,23,203,403,284,271,,,,,,,,,,,,,,,
Chad,,,,,,271k,,281k,,,,,,,,,,,366k,,,,,,,,,439k,426k,424k,424k,427k,423k,426k,,,,,,,,497k,,378k,,379k,453k,540k,466k,484k,
Togo,,117k,117k,,,,,,98.2k,96.5k,97.4k,,109k,114k,137k,147k,162k,148k,151k,155k,153k,148k,,,169k,142k,121k,128k,,,,77.2k,,72.3k,,64.3k,,71.8k,66.8k,,,,,,62.9k,52.8k,66.1k,63.1k,48.7k,25.7k,
Thailand,,,,1.02M,1.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7k,63.6k,74.8k,52.1k,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5k,30.6k,20.4k,,,,,,,,,,,,6080,8470,8860,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3k,10.6k,10.3k,7910,9020,7680,5760,4000,3830,1510,2640,2730,
Tonga,963,1010,487,,901,216,,,,,,,,477,,130,242,,,,507,,,480,,,,,480,796,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,6400,7260,7850,7860,6660,3220,3120,4270,7950,10.8k,6190,5770,4970,6240,5960,7540,6200,5490,7220,7930,10.4k,11k,11.7k,,,10.6k,10.1k,,1380,373,764,3270,2870,726,2580,,,1360,1970,953,,,,,,,,,,
Tunisia,,161k,,,,183k,,,169k,160k,150k,139k,123k,106k,88.8k,82k,,,,64.3k,65.8k,57.9k,53.4k,45.4k,43k,37.8k,41.7k,44.9k,,39.2k,30k,15k,,,,203,15,6050,4850,1460,,,,,,,,,,,
Turkey,,,,,579k,,,,,,,,,,,,,,,,,,,,360k,374k,,370k,,288k,,,,,,,122k,93.8k,110k,177k,143k,173k,217k,183k,150k,148k,162k,143k,138k,133k,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,49,113,,,170,125
Tanzania,,,,,,,,,,,,558k,651k,683k,,846k,899k,966k,1.04M,1.07M,1.12M,1.18M,1.22M,1.27M,1.34M,1.39M,1.42M,1.45M,1.49M,1.51M,1.44M,1.35M,902k,645k,497k,340k,126k,,37.5k,,263k,,488k,604k,685k,,668k,701k,842k,750k,809k
Uganda,,,,,,,,,,795k,,791k,775k,,,,685k,,,,,,,,,,,,,,,,,,,,,,,133k,254k,148k,,110k,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29k,96.7k,97.4k,90.8k,97.3k,97.6k,94.9k,89.5k,67.6k,49.3k,42.6k,42.4k,57.8k,,,,,,
Uruguay,,,,,,,,,,,,,,,22.2k,,,,,,,11.4k,8630,7520,10.1k,10.9k,11.6k,11.6k,,,,,,,,,,2180,706,,,,,,4250,,,,,148,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5k,,,,,,,,377k,,232k,52.1k,,76.7k,102k,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7k,72.5k,78k,69.5k,62.9k,45.7k,33.5k,18.3k,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,631,,283,,,,,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163k,121k,85.3k,31.6k,60.3k,60.7k,73.6k,75.3k,55.1k,89.1k,62.2k,50.9k,52.8k,79.4k,94.2k,89.6k,99.4k,134k,159k,,,
British Virgin Islands,,,,,,,,,,,,,,69,121,,,,,,,,,,,,,,,14,184,38,,,,69,106,,,,33,,78,46,,,,,,,
Vanuatu,,,,,,,,,,,,1530,,,,,,,,3020,,,,,,,,,,424,,,,,414,,,,,,,,,,,1500,,,,1100,873
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,62,926,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905k,,,,710k,658k,598k,,,541k,,468k,,424k,405k,,,431k,,,,
South Africa,633k,,,,,,,,,,,,,,,,,,,,,373k,,,354k,334k,,,304k,260k,321k,272k,224k,183k,161k,153k,,,,,,,,,,,,198k,387k,379k,
Zambia,,,126k,,,,124k,126k,133k,138k,142k,146k,152k,148k,147k,,144k,,164k,,,,,,248k,270k,,,318k,341k,344k,350k,329k,,198k,99.7k,116k,102k,,133k,177k,134k,113k,163k,,,,214k,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169k,137k,117k,75.2k,105k,110k,,,,,,,,,,,,158k,163k,195k,198k,200k,188k
